[I 2024-01-24 01:35:25,721] Trial 60 finished with value: 0.30757173895835876 and parameters: {'embedding_dim': 372, 'lstm_units': 233, 'dropout_rate': 0.25, 'l2_reg': 2.026178030919855e-06, 'batch_size': 64, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:37:00,301] Trial 61 finished with value: 0.3316984474658966 and parameters: {'embedding_dim': 414, 'lstm_units': 190, 'dropout_rate': 0.25, 'l2_reg': 3.22108315354043e-06, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:38:44,916] Trial 62 finished with value: 0.3136637210845947 and parameters: {'embedding_dim': 428, 'lstm_units': 156, 'dropout_rate': 0.25, 'l2_reg': 2.3924079322762976e-06, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:42:30,048] Trial 63 finished with value: 0.34237492084503174 and parameters: {'embedding_dim': 388, 'lstm_units': 140, 'dropout_rate': 0.25, 'l2_reg': 0.0007061614953196835, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:44:15,473] Trial 64 finished with value: 0.3089004158973694 and parameters: {'embedding_dim': 404, 'lstm_units': 178, 'dropout_rate': 0.25, 'l2_reg': 1.2689636191117193e-06, 'batch_size': 16, 'patience_for_early_stopping': 7}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:46:16,404] Trial 65 finished with value: 0.31653788685798645 and parameters: {'embedding_dim': 364, 'lstm_units': 166, 'dropout_rate': 0.25, 'l2_reg': 4.473472490538562e-06, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:48:30,322] Trial 66 finished with value: 0.3373866379261017 and parameters: {'embedding_dim': 451, 'lstm_units': 152, 'dropout_rate': 0.25, 'l2_reg': 5.998303308514274e-05, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:49:40,288] Trial 67 finished with value: 0.30509310960769653 and parameters: {'embedding_dim': 417, 'lstm_units': 194, 'dropout_rate': 0.25, 'l2_reg': 1.7306532364485761e-06, 'batch_size': 32, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:52:02,614] Trial 68 finished with value: 0.3000473380088806 and parameters: {'embedding_dim': 384, 'lstm_units': 114, 'dropout_rate': 0.25, 'l2_reg': 2.99403278054708e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:53:36,234] Trial 69 finished with value: 0.35168901085853577 and parameters: {'embedding_dim': 380, 'lstm_units': 134, 'dropout_rate': 0.25, 'l2_reg': 0.009763266074305098, 'batch_size': 64, 'patience_for_early_stopping': 11}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:55:32,820] Trial 70 finished with value: 0.31393036246299744 and parameters: {'embedding_dim': 398, 'lstm_units': 206, 'dropout_rate': 0.25, 'l2_reg': 1.2865856542431744e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:58:01,327] Trial 71 finished with value: 0.31467345356941223 and parameters: {'embedding_dim': 432, 'lstm_units': 119, 'dropout_rate': 0.25, 'l2_reg': 2.8870192161609315e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 02:00:06,280] Trial 72 finished with value: 0.2996017336845398 and parameters: {'embedding_dim': 356, 'lstm_units': 128, 'dropout_rate': 0.25, 'l2_reg': 2.2518486038258503e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 02:02:12,947] Trial 73 finished with value: 0.30015039443969727 and parameters: {'embedding_dim': 335, 'lstm_units': 110, 'dropout_rate': 0.25, 'l2_reg': 1.0030578499923904e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 02:04:18,413] Trial 74 finished with value: 0.3146957755088806 and parameters: {'embedding_dim': 340, 'lstm_units': 108, 'dropout_rate': 0.25, 'l2_reg': 2.0189798930240683e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 02:06:35,378] Trial 75 finished with value: 0.2947138845920563 and parameters: {'embedding_dim': 353, 'lstm_units': 128, 'dropout_rate': 0.5, 'l2_reg': 1.0504215189259233e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:09:08,458] Trial 76 finished with value: 0.3083483874797821 and parameters: {'embedding_dim': 325, 'lstm_units': 87, 'dropout_rate': 0.5, 'l2_reg': 9.375200612287916e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:11:29,247] Trial 77 finished with value: 0.30921614170074463 and parameters: {'embedding_dim': 352, 'lstm_units': 113, 'dropout_rate': 0.5, 'l2_reg': 3.7784827801471806e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:13:30,697] Trial 78 finished with value: 0.3085612952709198 and parameters: {'embedding_dim': 310, 'lstm_units': 129, 'dropout_rate': 0.5, 'l2_reg': 2.350308519330181e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:15:47,749] Trial 79 finished with value: 0.31660890579223633 and parameters: {'embedding_dim': 278, 'lstm_units': 122, 'dropout_rate': 0.5, 'l2_reg': 4.7670338237747554e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:17:54,046] Trial 80 finished with value: 0.3113054037094116 and parameters: {'embedding_dim': 330, 'lstm_units': 102, 'dropout_rate': 0.5, 'l2_reg': 1.2579855215933482e-06, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 75 with value: 0.2947138845920563.
[I 2024-01-24 02:19:50,040] Trial 81 finished with value: 0.3116806745529175 and parameters: {'embedding_dim': 361, 'lstm_units': 124, 'dropout_rate': 0.25, 'l2_reg': 1.1222080185362041e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 75 with value: 0.2947138845920563.
